Poll,Start,End,Sample,Type,Clinton,Sanders
Quinnipiac,2/2/16,2/4/16,484,RV,44,42
Rasmussen Reports,2/3/16,2/4/16,574,LV,50,32
PPP (D),2/2/16,2/3/16,517,LV,53,32
IBD/TIPP,1/22/16,1/27/16,349,RV,50,38
CNN/ORC,1/21/16,1/24/16,440,RV,52,38
ABC News/Wash Post,1/21/16,1/24/16,406,RV,55,36
FOX News,1/18/16,1/21/16,375,LV,49,37
Monmouth,1/15/16,1/18/16,352,RV,52,37
NBC News/Wall St. Jrnl,1/9/16,1/13/16,400,LV,59,34
CBS/NY Times,1/7/16,1/10/16,389,LV,48,41
IBD/TIPP,1/4/16,1/8/16,378,LV,43,39
FOX News,1/4/16,1/7/16,360,RV,54,39
Rasmussen Reports,12/20/15,12/21/15,546,LV,46,30
CNN/ORC,12/17/15,12/21/15,414,RV,50,34
Quinnipiac,12/16/15,12/20/15,462,RV,61,30
FOX News,12/16/15,12/17/15,390,RV,56,34
PPP (D),12/16/15,12/17/15,525,LV,56,28
ABC News/Wash Post,12/10/15,12/13/15,377,RV,59,28
Monmouth,12/10/15,12/13/15,374,RV,59,26
NBC/WSJ,12/6/15,12/9/15,400,LV,56,37
CBS/NY Times,12/4/15,12/8/15,384,LV,52,32
USA Today/Suffolk,12/2/15,12/6/15,363,LV,56,29
IBD/TIPP,11/30/15,12/4/15,345,RV,51,33
CNN/ORC,11/27/15,12/1/15,403,RV,58,30
Quinnipiac,11/23/15,11/29/15,573,RV,60,30
FOX News,11/16/15,11/18/15,366,RV,55,32
ABC/Wash Post,11/16/15,11/18/15,352,RV,60,34
PPP (D),11/16/15,11/16/15,538,RV,59,26
Bloomberg,11/15/15,11/16/15,385,RV,55,30
Rasmussen Reports,11/15/15,11/15/15,506,LV,50,29
CBS News/NYT,11/6/15,11/9/15,418,RV,52,33
FOX News,11/1/15,11/3/15,505,RV,56,31
McClatchy/Marist,10/30/15,11/5/15,511,RV,57,35
Quinnipiac,10/29/15,11/2/15,502,RV,53,35
NBC/WSJ,10/25/15,10/29/15,400,LV,62,31
IBD/TIPP,10/24/15,10/29/15,356,RV,48,33
NBC News/Wall St. Jrnl,10/15/15,10/18/15,400,RV,49,29
Monmouth,10/15/15,10/18/15,340,RV,48,21
ABC News/Wash Post,10/15/15,10/18/15,444,RV,54,23
CNN/ORC,10/14/15,10/17/15,291,RV,45,29
FOX News,10/10/15,10/12/15,353,RV,45,25
CBS News,10/4/15,10/8/15,343,RV,46,27
PPP (D),10/1/15,10/4/15,551,RV,42,24
IBD/TIPP,9/26/15,10/1/15,348,RV,42,18
USA Today/Suffolk,9/24/15,9/28/15,430,LV,41,23
Pew Research*,9/22/15,9/27/15,387,RV,45,24
NBC News/Wall St. Jrnl,9/20/15,9/24/15,256,RV,42,35
FOX News,9/20/15,9/22/15,381,LV,44,30
Bloomberg,9/18/15,9/21/15,375,RV,33,24
Quinnipiac,9/17/15,9/21/15,587,RV,43,25
CNN/ORC,9/17/15,9/19/15,392,RV,42,24
CBS News/NY Times,9/9/15,9/13/15,351,RV,47,27
CNN/ORC,9/4/15,9/8/15,395,RV,37,27
Monmouth,8/31/15,9/2/15,339,RV,42,20
PPP (D),8/28/15,8/30/15,545,LV,55,20
Quinnipiac,8/20/15,8/25/15,647,RV,45,22
Rasmussen Reports,8/23/15,8/24/15,536,LV,50,24
CNN/ORC,8/13/15,8/16/15,358,RV,47,29
FOX News,8/11/15,8/13/15,401,LV,49,30
Monmouth,7/30/15,8/2/15,429,RV,52,16
FOX News,7/30/15,8/2/15,499,LV,51,22
CBS News,7/29/15,8/2/15,362,RV,58,17
NBC News/Wall St. Jrnl,7/26/15,7/30/15,253,RV,59,25
Quinnipiac,7/23/15,7/28/15,681,RV,55,17
CNN/ORC,7/22/15,7/25/15,392,RV,56,19
PPP (D),7/20/15,7/21/15,496,RV,57,22
FOX News,7/13/15,7/15/15,382,RV,59,19
USA Today/Suffolk,7/9/15,7/12/15,434,LV,59,14
Monmouth,7/9/15,7/12/15,357,RV,51,17
CNN/ORC,6/26/15,6/28/15,428,RV,58,15
FOX News,6/21/15,6/23/15,375,RV,61,15
NBC News/Wall St. Jrnl,6/14/15,6/18/15,247,RV,75,15
Monmouth,6/11/15,6/14/15,350,RV,57,12
PPP (D),6/11/15,6/14/15,471,RV,65,9
FOX News,5/31/15,6/2/15,395,RV,57,11
CNN/ORC,5/29/15,5/31/15,433,A,60,10
ABC News/Wash Post,5/28/15,5/31/15,376,RV,62,10
Quinnipiac,5/19/15,5/26/15,748,RV,57,15
FOX News,5/9/15,5/12/15,370,LV,63,6
PPP (D),5/7/15,5/10/15,600,RV,63,13
FOX News,4/19/15,4/21/15,388,LV,62,4
Quinnipiac,4/16/15,4/21/15,569,RV,60,8
CNN/ORC,4/16/15,4/19/15,458,A,69,5
FOX News,3/29/15,3/31/15,397,LV,61,3
PPP (D),3/26/15,3/31/15,449,RV,54,6
CNN/ORC,3/13/15,3/15/15,466,A,62,3
McClatchy/Marist,3/1/15,3/4/15,462,RV,60,5
Quinnipiac,2/26/15,3/2/15,493,RV,56,4
PPP (D),2/20/15,2/21/15,310,RV,54,5
FOX News,1/25/15,1/26/15,390,RV,55,3
PPP (D),1/22/15,1/24/15,386,RV,60,2
Rasmussen Reports,1/18/15,1/18/15,648,LV,59,4
CNN/ORC,12/18/14,12/21/14,469,A,66,3
ABC News/Wash Post,12/11/14,12/14/14,346,RV,61,4
FOX News,12/7/14,12/9/14,409,RV,62,3
McClatchy/Marist,12/3/14,12/9/14,429,RV,62,4
CNN/ORC,11/21/14,11/23/14,457,A,65,5
Quinnipiac,11/18/14,11/23/14,610,RV,57,4
