Poll,Start,End,Sample,Type,Trump,Cruz,Rubio,Carson,Bush,Kasich,Christie,Fiorina
Quinnipiac,2/2/16,2/4/16,507,RV,31,22,19,6,3,3,3,2
Rasmussen,2/3/16,2/4/16,725,LV,31,20,21,5,4,6,3,3
PPP (D),2/2/16,2/3/16,531,LV,25,21,21,11,5,5,3,3
IBD/TIPP,1/22/16,1/27/16,395,RV,31,21,10,9,5,2,1,2
CNN/ORC,1/21/16,1/24/16,405,RV,41,19,8,6,5,1,4,2
ABC News/Wash Post,1/21/16,1/24/16,356,RV,37,21,11,7,5,2,4,3
FOX News,1/18/16,1/21/16,405,LV,34,20,11,8,4,4,3,1
Monmouth,1/15/16,1/18/16,385,RV,36,17,11,8,5,3,3,1
NBC/WSJ,1/9/16,1/13/16,400,LV,33,20,13,12,5,3,5,3
CBS/NY Times,1/7/16,1/10/16,442,LV,36,19,12,6,6,2,3,3
IBD/TIPP,1/4/16,1/8/16,414,LV,34,18,9,8,4,2,4,2
FOX News,1/4/16,1/7/16,423,RV,35,20,13,10,4,2,2,3
CNN/ORC,12/17/15,12/20/15,438,RV,39,18,10,10,3,2,5,1
Quinnipiac,12/16/15,12/19/15,508,RV,28,24,12,10,4,1,6,2
FOX News,12/16/15,12/16/15,402,RV,39,18,11,9,3,2,3,3
PPP (D),12/16/15,12/16/15,532,LV,34,18,13,6,7,2,5,4
ABC News/Wash Post,12/10/15,12/12/15,100,A,38,15,12,12,5,2,4,1
Monmouth,12/10/15,12/12/15,385,RV,41,14,10,9,3,3,2,2
NBC/WSJ,12/6/15,12/9/15,400,LV,27,22,15,11,7,2,3,5
CBS/NY Times,12/4/15,12/8/15,431,LV,35,16,9,13,3,3,3,1
USA Today/Suffolk,12/2/15,12/6/15,357,LV,27,17,16,10,4,2,2,1
IBD/TIPP,11/30/15,12/4/15,394,RV,27,13,14,15,3,2,2,3
CNN/ORC,11/27/15,12/1/15,445,RV,36,16,12,14,3,2,4,3
Quinnipiac,11/23/15,11/29/15,672,RV,27,16,17,16,5,2,2,3
FOX News,11/16/15,11/18/15,434,RV,28,14,14,18,5,2,3,3
ABC News/Wash Post,11/16/15,11/18/15,373,RV,32,8,11,22,6,3,2,4
PPP (D),11/16/15,11/16/15,607,RV,26,14,13,19,5,3,3,4
Bloomberg,11/1/15,11/16/15,379,RV,24,9,12,20,6,3,4,3
McClatchy/Marist,10/29/15,11/4/15,426,RV,23,8,12,24,8,4,2,3
Quinnipiac,10/29/15,11/2/15,502,RV,24,13,14,23,4,3,3,3
NBC/WSJ,10/25/15,10/29/15,400,LV,23,10,11,29,8,3,3,3
IBD/TIPP,10/24/15,10/29/15,402,RV,28,6,11,23,6,1,1,3
CBS/NY Times,10/21/15,10/25/15,575,RV,22,4,8,26,7,4,1,7
