Where do you live?,How long does it take to get to Columbia from your home? (in minutes),How old are you?,How many brothers and sisters do you have?,What is your favorite sport?,Have you seen these movies?,How many rats live in New York City?
Manhattan,10,20,4,Tennis,"Star Wars, Avatar, Titanic, Back to the Future, Jurassic World, The Hunger Games, Transformers, Frozen, Night at the Museum",2000000
Manhattan,20,18,0,None of the Above,"Titanic, Back to the Future, Jurassic World, The Hunger Games, Transformers, Frozen, Night at the Museum",1000000
Brooklyn,65,12,3,Football,"Star Wars, Titanic, Jurassic World, Night at the Museum",2000000
Manhattan,30,10,6,Swimming,"Star Wars, Avatar, Titanic, Transformers, Frozen",3.00E+19
Queens,50,11,9,Skiing / Snowboarding,"Star Wars, Avatar, Titanic, Transformers, Frozen, Night at the Museum",1
New Jersey,60,17,1,Swimming,"Avatar, Transformers, Frozen",102389
New Jersey,60,17,1,Tennis,"Star Wars, Avatar, Titanic, Jurassic World, The Hunger Games, Transformers, Frozen",1
New Jersey,20,18,1,None of the Above,"The Hunger Games, Frozen, Night at the Museum",
Queens,75,17,2,None of the Above,"Star Wars, Back to the Future, Jurassic World, The Hunger Games, Frozen",5000000
New Jersey,30,17,1,Football,"Star Wars, Avatar, Titanic, Transformers, Night at the Museum",100000
New Jersey,50,17,1,None of the Above,"Star Wars, Avatar, Back to the Future, The Hunger Games, Frozen, Night at the Museum",400001
New Jersey,30,17,1,None of the Above,"Avatar, Night at the Museum",2000000
New Jersey,60,16,0,Swimming,"Star Wars, Avatar, The Hunger Games, Transformers",1
Brooklyn,90,17,1,Gymnastics,"Avatar, Titanic, Jurassic World, The Hunger Games, Transformers, Frozen, Night at the Museum",2000000
Manhattan,10,17,1,None of the Above,"Avatar, Titanic, Back to the Future, The Hunger Games, Night at the Museum",2000000
New Jersey,50,17,2,None of the Above,"Star Wars, Avatar, Titanic, The Hunger Games, Transformers, Frozen, Night at the Museum",9
Other,90,17,2,None of the Above,"Star Wars, Avatar, Jurassic World, The Hunger Games, Transformers, Frozen",2000000
Queens,90,17,1,Football,"Star Wars, Avatar, Titanic, Back to the Future, Jurassic World, The Hunger Games, Transformers, Frozen",2000001
New Jersey,30,17,1,None of the Above,"Star Wars, Avatar, Back to the Future, The Hunger Games, Night at the Museum",1.00E+61
New Jersey,25,18,1,Basketball,"Star Wars, Avatar, Titanic, Transformers, Frozen, Night at the Museum",300000000
Upstate New York,30,17,2,Swimming,"Star Wars, Avatar, The Hunger Games, Transformers, Frozen, Night at the Museum",1000000
Other,60,17,1,None of the Above,"Star Wars, Avatar, The Hunger Games, Transformers, Frozen, Night at the Museum",2000000
Other,70,17,2,Football,"Star Wars, Avatar, Titanic, The Hunger Games, Frozen, Night at the Museum",5646341365
New Jersey,20,18,1,None of the Above,"Star Wars, Avatar, Titanic, Back to the Future, Jurassic World, The Hunger Games, Transformers, Frozen, Night at the Museum",1
New Jersey,110,17,1,Tennis,"Star Wars, Avatar, The Hunger Games, Transformers, Night at the Museum",100000000
